disp,km,name,price,time,trans,url
<span>2.4L</span>,<span>4.69万公里</span>,本田 奥德赛 2015款 改款 2.4L 豪华版,21.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117741be3826f346282d55be18e4bfb0ec2.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cs/5fa636062e427fbex.htm#fr_page=list&fr_pos=city&fr_no=23
<span>2.0L</span>,<span>5.53万公里</span>,本田 雅阁 2016款 2.0L 舒适版,13.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741175a0766868ff33e69fb29048186f19211.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/dg/baf54c0a494216d5x.htm#fr_page=list&fr_pos=city&fr_no=6
<span>2.0T</span>,<span>5.93万公里</span>,宝马5系 2014款 525Li 领先型,23.23,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741116499f6f8e801814dabafe2aa1ffb9bb3.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/pingdingshan/213c658f0bb8ea80x.htm#fr_page=list&fr_pos=city&fr_no=7
<span>2.0T</span>,<span>7.52万公里</span>,英菲尼迪Q50L 2016款 2.0T 舒适版,17.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411670bcbaa2ba491ed0ab21f3375aabd135.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/sh/82b3087070b6debbx.htm#fr_page=list&fr_pos=city&fr_no=22
<span>1.6L</span>,<span>3.57万公里</span>,日产 骐达 2016款 1.6L CVT智行版,9.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117741be3826f346282d55be18e4bfb0ec2.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jining/b4efc4fb4a89d5d0x.htm#fr_page=list&fr_pos=city&fr_no=4
<span>3.2L</span>,<span>8.79万公里</span>,路虎 神行者2 2010款 3.2 i6 自动HSE汽油版(进口),11.18,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741066162be7466ed1940b85afbe0c62cccb8.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/ty/409dc24e9daecc79x.htm#fr_page=list&fr_pos=city&fr_no=5
<span>1.5T</span>,<span>1.74万公里</span>,福特 福克斯 2020款 三厢 EcoBoost 180 自动ST Line,11.45,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617412159f86dfbf161b3e8b8021aeb9c7431d5.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cq/a9ac5d71fa0dae9dx.htm#fr_page=list&fr_pos=city&fr_no=11
<span>2.0T</span>,<span>3.66万公里</span>,奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,25.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741184e048054c1edd8b4ce2425387e063167.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/su/7709af2c987201ddx.htm#fr_page=list&fr_pos=city&fr_no=3
<span>2.0L</span>,<span>9.87万公里</span>,本田CR-V 2012款 2.0L 两驱都市版,8.00,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411096758c8bc8429b43c68b8465d8d89052.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/lianyungang/35000984883ace90x.htm#fr_page=list&fr_pos=city&fr_no=39
<span>2.4L</span>,<span>6.23万公里</span>,本田 奥德赛 2015款 改款 2.4L 豪华版,20.68,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174115f1282322ba0052e2084dcef6bc3ebcdd.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/sz/2f09418c307cac80x.htm#fr_page=list&fr_pos=city&fr_no=1
<span>1.6L</span>,<span>5.65万公里</span>,福特 福克斯 2017款 三厢 1.6L 自动风尚型智行版,6.48,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411606ea84bf5da3d4e8cd8e49bcd38f2a34.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nj/e905fe32ab5fb67bx.htm#fr_page=list&fr_pos=city&fr_no=38
<span>1.5T</span>,<span>5.75万公里</span>,福特 福克斯 2015款 三厢 EcoBoost 180 自动精英型,6.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411404fa11be645a72895f8df3972006feb8.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cd/36eb37271e8fc719x.htm#fr_page=list&fr_pos=city&fr_no=36
<span>2.0L</span>,<span>6.16万公里</span>,奔腾X80 2015款 2.0L 自动豪华型,4.60,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411333eaa6cd35ec618eb63d208d43108adb.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/gy/e43487a6b4639364x.htm#fr_page=list&fr_pos=city&fr_no=34
<span>1.6L</span>,<span>1.03万公里</span>,起亚 福瑞迪 2019款 1.6L 自动风尚版 国VI,6.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174121dd3c69f582553736f8aa88035d33cfa2.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cq/36745cc512e86bb9x.htm#fr_page=list&fr_pos=city&fr_no=35
<span>1.6L</span>,<span>6.37万公里</span>,长安 逸动 2014款 1.6L 手动豪华型,3.55,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174112dac9a97051b92d5fd7727379adc7d325.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/ty/8dcd344fb26413afx.htm#fr_page=list&fr_pos=city&fr_no=33
<span>1.4T</span>,<span>6.48万公里</span>,雪佛兰 科鲁兹 2016款 1.4T DCG豪华版,6.68,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741149f4f0e24a3ea0492f1bd17f63df2867b.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/dg/47c54ec0fbd1fc74x.htm#fr_page=list&fr_pos=city&fr_no=37
<span>1.8T</span>,<span>9.24万公里</span>,纳智捷 优6 SUV 2015款 1.8T 时尚型,4.45,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411333eaa6cd35ec618eb63d208d43108adb.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/ganzhou/733f9a0971c31809x.htm#fr_page=list&fr_pos=city&fr_no=0
<span>1.6L</span>,<span>6.2万公里</span>,长安CS35 2015款 1.6L 自动豪华型 国IV,5.00,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174113c751e33c6528f7e1cb910e34027fc0fc.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/yuncheng/7768096557f863bax.htm#fr_page=list&fr_pos=city&fr_no=31
<span>2.4L</span>,<span>11.16万公里</span>,别克GL8 2013款 2.4L 行政版,8.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174110d0380eaebc6af49ddbd57dc01327e160.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/bj/7a585851bd93a170x.htm#fr_page=list&fr_pos=city&fr_no=30
<span>1.6L</span>,<span>7.38万公里</span>,海马 福美来 2014款 M5 1.6L 手动时尚型,3.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174113e0ccff5233a8060375d917220d182323.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/jining/f6534388c3b0c179x.htm#fr_page=list&fr_pos=city&fr_no=32
<span>1.5L</span>,<span>1.97万公里</span>,丰田 威驰 2017款 1.5L CVT创行版,6.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741187e251037827c108df0864929549fe87d.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zhongshan/c3ac5c1d84e607dfx.htm#fr_page=list&fr_pos=city&fr_no=29
<span>1.5L</span>,<span>8.33万公里</span>,一汽 威志 2011款 三厢 1.5L 手动标准型,1.30,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741068935468b9d4140af292744c893a35179.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/weifang/aa13925598ec4cfax.htm#fr_page=list&fr_pos=city&fr_no=26
<span>1.5L</span>,<span>1.24万公里</span>,福特 福睿斯 2017款 改款 1.5L 自动舒适型,6.68,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117741be3826f346282d55be18e4bfb0ec2.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/su/a05a604848707e1ax.htm#fr_page=list&fr_pos=city&fr_no=28
<span>1.5L</span>,<span>13.02万公里</span>,长城M4 2012款 1.5L 手动豪华型,1.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174109e0e0997e0d1d3e1aef01456fd3a5835c.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/quanzhou/7d2483be89aba558x.htm#fr_page=list&fr_pos=city&fr_no=23
<span>1.5L</span>,<span>3.58万公里</span>,荣威350 2011款 350S 1.5L 手动迅驰版,2.68,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174108c46443da16f09fbdb5460e27e065e319.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/weifang/f3ddd2cc46e27eecx.htm#fr_page=list&fr_pos=city&fr_no=21
<span>1.6L</span>,<span>14.51万公里</span>,雪佛兰 科鲁兹 2013款 1.6L SE MT,3.38,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174111dd2c186693271f61afcb26a7a88ecf07.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/wx/8ae5fad2daf1c1b7x.htm#fr_page=list&fr_pos=city&fr_no=22
<span>1.5L</span>,<span>8.51万公里</span>,福特 嘉年华 2011款 三厢 1.5L 自动豪华型,3.70,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174108c46443da16f09fbdb5460e27e065e319.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/ty/d52d3fce6e037e63x.htm#fr_page=list&fr_pos=city&fr_no=20
<span>2.0L</span>,<span>5.94万公里</span>,大众 朗逸 2015款 1.6L 手动风尚版,5.30,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741144fd132ad5b4147282e19470307b8cd56.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/lianyungang/e361fc7bc785a450x.htm#fr_page=list&fr_pos=city&fr_no=24
<span>1.8L</span>,<span>9.52万公里</span>,丰田 卡罗拉 2011款 1.8L 手动GL-i,4.60,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174106d65b583dba07d5f8e20181ddc60dde90.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/sy/9a6d3278e35981cex.htm#fr_page=list&fr_pos=city&fr_no=25
<span>1.5L</span>,<span>0.43万公里</span>,别克 英朗 2021款 典范 1.5L 自动精英型,7.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741223b68a2273917f218464f526cb9466a5b.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cq/1bfc4ccdd2a18f8ax.htm#fr_page=list&fr_pos=city&fr_no=19
<span>1.6L</span>,<span>8.72万公里</span>,现代 悦动 2011款 1.6L 自动豪华型,3.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741073230c1b3efeacce894f065497ea62449.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jilin/11c43a46dc7f24a4x.htm#fr_page=list&fr_pos=city&fr_no=17
<span>1.3T</span>,<span>3.34万公里</span>,别克 英朗 2018款 18T 自动精英型,7.58,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411939d74010d0de5b83c0a94d8230455a66.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jn/23f1dfe127d2d85bx.htm#fr_page=list&fr_pos=city&fr_no=18
<span>1.3T</span>,<span>3.34万公里</span>,别克 英朗 2018款 18T 自动精英型,7.30,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174118a1abff912088feb85f072f9de824f7e4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nj/88347778311171a5x.htm#fr_page=list&fr_pos=city&fr_no=14
<span>1.6L</span>,<span>4.26万公里</span>,铃木 天语 SX4 2013款 酷锐 1.6L 自动运动型,5.30,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174111d51ba6679f7be72270cbc2ce12bcfdf3.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jn/7c284ae10ff99289x.htm#fr_page=list&fr_pos=city&fr_no=16
<span>1.6L</span>,<span>6.14万公里</span>,MINI 2010款 1.6L COOPER Cheer,6.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174104432eb2d216e48136a8ddc35aa9684adc.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cs/3303b46cf8b9aa16x.htm#fr_page=list&fr_pos=city&fr_no=15
<span>1.5L</span>,<span>12.32万公里</span>,比亚迪L3 2015款 节能版 1.5L 自动尊贵型,3.30,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411404fa11be645a72895f8df3972006feb8.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/fz/924705a29bbeb1b3x.htm#fr_page=list&fr_pos=city&fr_no=12
<span>1.6L</span>,<span>6.07万公里</span>,日产 骊威 2010款 劲锐版 1.6L 手动标准型,3.20,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174105acea0e8667b788ab2e602d7ca2c54a59.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/sy/97da68247b8361f3x.htm#fr_page=list&fr_pos=city&fr_no=13
<span>2.0L</span>,<span>11.37万公里</span>,日产 逍客 2010款 20X雷 CVT 2WD,6.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617410503916d895a5536990416507042b2ced4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/jilin/73ec38a1cefed0d7x.htm#fr_page=list&fr_pos=city&fr_no=10
<span>1.8L</span>,<span>11.43万公里</span>,雪佛兰 科鲁兹 2013款 1.8L SE AT,4.68,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174111263b634be0de744f6b79b5f2c39922d8.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zz/d077575a1df41cd9x.htm#fr_page=list&fr_pos=city&fr_no=11
<span>2.0L</span>,<span>8.87万公里</span>,日产 逍客 2012款 2.0XL 火 CVT 2WD,6.60,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174110ad4f1825586f7e5953af4d6051950024.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nmg/eef605fd77a94994x.htm#fr_page=list&fr_pos=city&fr_no=9
<span>1.5L</span>,<span>6.79万公里</span>,荣威350 2013款 350S 1.5L 自动迅达版,3.28,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411175e23982a320e9edd959d2dfbf0bfdc2.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zhongshan/2f111ccad0b7ad3ex.htm#fr_page=list&fr_pos=city&fr_no=8
<span>1.8L</span>,<span>11.51万公里</span>,福特 福克斯 2013款 两厢经典 1.8L 自动基本型,3.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411040e25da673d2ed36068e76d1ddc42c1f.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/yangzhou/1e0e2ccf53d61aaax.htm#fr_page=list&fr_pos=city&fr_no=7
<span>2.0L</span>,<span>10.29万公里</span>,日产 逍客 2012款 2.0XL 火 CVT 2WD,6.00,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174111bd484ca6a6761e9b093e80b36c025eea.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/hz/aacabe2f462b5c9cx.htm#fr_page=list&fr_pos=city&fr_no=6
<span>2.5L</span>,<span>13.19万公里</span>,日产 天籁 2008款 2.5L XL领先版,7.19,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741058b85dcaf2400cc3db3ccfe6b78bdabc4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/gz/03748072978cbea2x.htm#fr_page=list&fr_pos=city&fr_no=3
<span>1.6L</span>,<span>13.34万公里</span>,别克 凯越 2011款 1.6LE-MT,2.36,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617410741c3d6f5b18a78457f4900863ea6f8e8.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/wx/89e9f85f7a7337dcx.htm#fr_page=list&fr_pos=city&fr_no=5
<span>1.6L</span>,<span>3.4万公里</span>,现代 朗动 2016款 1.6L 自动智能型,7.40,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117a1371fd11f290aa4c7a7c4f7cb6432ef.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/lianyungang/589d49ac1dea8fd4x.htm#fr_page=list&fr_pos=city&fr_no=37
<span>1.6L</span>,<span>10.54万公里</span>,雪佛兰 爱唯欧 2011款 两厢 1.6L AT SX,3.20,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174110f7bacec292ac6b9f867957cbcf4079eb.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zz/55ad3a529eb53a72x.htm#fr_page=list&fr_pos=city&fr_no=4
<span>1.5L</span>,<span>9.63万公里</span>,别克 英朗 2016款 15N 自动豪华型,6.48,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411606ea84bf5da3d4e8cd8e49bcd38f2a34.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/gz/003940d09e34feb2x.htm#fr_page=list&fr_pos=city&fr_no=2
<span>2.0L</span>,<span>11.5万公里</span>,日产 天籁 2011款 2.0L XL舒适版,6.48,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741073418024424032e634efd29c26b16e4e6.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nj/b14478ee5e52208fx.htm#fr_page=list&fr_pos=city&fr_no=1
<span>2.0T</span>,<span>3.93万公里</span>,奥迪A4L 2019款 40 TFSI 进取型 国VI,25.20,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741216913c7ab9b30370ca00202fee4dc82a7.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nj/d6c1b0c53847f1a9x.htm#fr_page=list&fr_pos=city&fr_no=36
<span>2.0L</span>,<span>8.58万公里</span>,雷克萨斯ES 2015款 200 精英版,25.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741168b8a2cd4c3ef1f72b5644771744916fb.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nj/021770ec46ad1c9ex.htm#fr_page=list&fr_pos=city&fr_no=35
<span>1.6L</span>,<span>9.66万公里</span>,大众 朗行 2013款 1.6L 自动风尚型,6.35,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174111266b541baff0af4b757c61b8254acf3b.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/dl/0b82df484e1b3aa9x.htm#fr_page=list&fr_pos=city&fr_no=34
<span>1.4T</span>,<span>5.67万公里</span>,大众 朗逸 2017款 230TSI DSG舒适版,9.50,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174117a1371fd11f290aa4c7a7c4f7cb6432ef.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/suqian/c81d7fdbbb733f7bx.htm#fr_page=list&fr_pos=city&fr_no=30
<span>1.8L</span>,<span>7.82万公里</span>,标致408 2014款 1.8L 手动领先版,6.20,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741149f4f0e24a3ea0492f1bd17f63df2867b.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/nantong/03de3f1324da0551x.htm#fr_page=list&fr_pos=city&fr_no=33
<span>1.6T</span>,<span>2.29万公里</span>,奔驰GLA级 2018款 GLA 200 动感型,19.98,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174118d812c29343aadb238abb72e985d9b93c.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nj/ce52768201c64f21x.htm#fr_page=list&fr_pos=city&fr_no=32
<span>1.6L</span>,<span>2.73万公里</span>,日产 轩逸 2018款 1.6XE CVT舒适版,8.58,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174118a1abff912088feb85f072f9de824f7e4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/cq/b76a7b9634bd3282x.htm#fr_page=list&fr_pos=city&fr_no=31
<span>1.4T</span>,<span>3.34万公里</span>,大众 宝来 2019款 280TSI DSG精英型,10.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn20041617411939d74010d0de5b83c0a94d8230455a66.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/hz/c6395637aa1a9613x.htm#fr_page=list&fr_pos=city&fr_no=28
<span>1.8L</span>,<span>8.41万公里</span>,日产 骊威 2010款 劲逸版 1.8L 自动标准型,4.88,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741097906a9ea37f989abb0ac39195eac106a.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zhongshan/76857472117852fex.htm#fr_page=list&fr_pos=city&fr_no=27
<span>1.5T</span>,<span>7.1万公里</span>,荣威RX5 2018款 20T 两驱手动旗舰版,7.20,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174118a1abff912088feb85f072f9de824f7e4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>手动</span>,https://www.guazi.com/zz/f4496c53be7ae4a1x.htm#fr_page=list&fr_pos=city&fr_no=26
<span>4.8L</span>,<span>5.95万公里</span>,保时捷Cayenne 2012款 Cayenne GTS 4.8L,62.90,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174112dac9a97051b92d5fd7727379adc7d325.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/langfang/400d4d566834ec40x.htm#fr_page=list&fr_pos=city&fr_no=29
<span>2.0T</span>,<span>4.15万公里</span>,别克GL8 2017款 ES 28T 豪华型 国V,30.99,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174118a1abff912088feb85f072f9de824f7e4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zz/42364de0cb67c837x.htm#fr_page=list&fr_pos=city&fr_no=25
<span>1.6L</span>,<span>7.99万公里</span>,丰田 雷凌 2015款 1.6E CVT新锐版,7.60,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174113e60abe87c078a72dd53d67542d3380c9.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/huizhou/ff4016c6904df911x.htm#fr_page=list&fr_pos=city&fr_no=21
<span>2.4L</span>,<span>11.03万公里</span>,本田 艾力绅 2015款 2.4L VTi-S尊贵版,18.80,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174114db04396100ba943fcb85565ff1b224a5.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/sz/32bcf2c01a925883x.htm#fr_page=list&fr_pos=city&fr_no=24
<span>2.4L</span>,<span>3.94万公里</span>,比亚迪S6 2014款 2.4L 自动尊贵型 5座,4.28,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741121cf471b64e6fc2b85cd73d983259a8ee.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/zjtaizhou/a7944372c0ffc0bdx.htm#fr_page=list&fr_pos=city&fr_no=23
<span>1.6L</span>,<span>9.67万公里</span>,标致308 2013款 1.6L 自动风尚型,4.78,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn2004161741116499f6f8e801814dabafe2aa1ffb9bb3.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/nn/fdfe351f55bd5e78x.htm#fr_page=list&fr_pos=city&fr_no=20
<span>1.5T</span>,<span>7.92万公里</span>,哈弗H6 2018款 红标 运动版 1.5T 自动两驱精英型,8.18,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174118a1abff912088feb85f072f9de824f7e4.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/fz/1494407d80bc991fx.htm#fr_page=list&fr_pos=city&fr_no=22
<span>1.5T</span>,<span>2.91万公里</span>,本田 雅阁 2018款 230TURBO 舒适版 国V,16.38,"<span style=""line-height: 0.5;"">
                <img src=""https://image1.guazistatic.com/qn200416174119bf590f9b9b7e40713bca2ec1fbedf66f.jpg"" style=""height: 24px;line-height: 24px;"">
            </span>",<span>自动</span>,https://www.guazi.com/wh/182cd6985cf27773x.htm#fr_page=list&fr_pos=city&fr_no=19
